,구별,소계,2013년도 이전,2014년,2015년,2016년,발생,검거
0,강남구,2780,1292,430,584,932,8617,5732
1,강동구,773,379,99,155,377,5244,3171
2,강북구,748,369,120,138,204,4257,3113
3,관악구,1496,846,260,390,613,6345,3712
4,광진구,707,573,78,53,174,5909,3707
5,구로구,1561,1142,173,246,323,5646,3502
6,금천구,1015,674,51,269,354,3781,2796
7,노원구,1265,542,57,451,516,5130,3268
8,도봉구,485,238,159,42,386,2664,1900
9,동대문구,1294,1070,23,198,579,4720,3205
10,동작구,1091,544,341,103,314,4074,2397
11,마포구,574,314,118,169,379,5854,3597
12,서대문구,962,844,50,68,292,4029,2579
13,서초구,1930,1406,157,336,398,5444,3450
14,성동구,1062,730,91,241,265,3358,2123
15,성북구,1464,1009,78,360,204,4154,2729
16,송파구,618,529,21,68,463,6778,4113
17,양천구,2034,1843,142,30,467,10113,7005
18,영등포구,904,495,214,195,373,6867,4154
19,용산구,1624,1368,218,112,398,3820,2483
20,은평구,1873,1138,224,278,468,4745,3167
21,종로구,1002,464,314,211,630,4705,2943
22,중구,671,413,190,72,348,4954,2942
23,중랑구,660,509,121,177,109,5193,3405
